Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1973","1973","1000 persons","18714.781","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1973","1973","1000 persons","18181.77","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1973","1973","1000 persons","21532.164","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1973","1973","1000 persons","15955.903","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","37708.146","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1974","1974","1000 persons","19117.779","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1974","1974","1000 persons","18590.365","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1974","1974","1000 persons","21871.828","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1974","1974","1000 persons","16450.194","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","38549.142","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1975","1975","1000 persons","19535.952","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1975","1975","1000 persons","19013.181","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1975","1975","1000 persons","22223.12","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1975","1975","1000 persons","16964.582","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","39422.73","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1976","1976","1000 persons","19971.532","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1976","1976","1000 persons","19451.199","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1976","1976","1000 persons","22587.697","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1976","1976","1000 persons","17501.335","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","40329.589","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1977","1977","1000 persons","20424.52","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1977","1977","1000 persons","19905.069","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1977","1977","1000 persons","23052.903","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1977","1977","1000 persons","17973.574","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","41275.736","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1978","1978","1000 persons","20896.136","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1978","1978","1000 persons","20379.592","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1978","1978","1000 persons","23595.817","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1978","1978","1000 persons","18408.838","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","42267.435","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1979","1979","1000 persons","21387.075","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1979","1979","1000 persons","20880.354","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1979","1979","1000 persons","24163.678","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1979","1979","1000 persons","18864.138","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","43309.063","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1980","1980","1000 persons","21897.956","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1980","1980","1000 persons","21411.107","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 persons","24758.241","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 persons","19340.901","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","44400.113","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1981","1981","1000 persons","22427.856","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1981","1981","1000 persons","21972.257","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 persons","25378.32","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 persons","19838.186","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","45539.296","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1982","1982","1000 persons","22977.292","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1982","1982","1000 persons","22562.003","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1982","1982","1000 persons","26023.701","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1982","1982","1000 persons","20355.919","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","46728.286","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1983","1983","1000 persons","23549.681","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1983","1983","1000 persons","23178.603","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1983","1983","1000 persons","26697.777","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1983","1983","1000 persons","20896.779","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","47968.642","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1984","1984","1000 persons","24149.412","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1984","1984","1000 persons","23819.231","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1984","1984","1000 persons","27404.797","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1984","1984","1000 persons","21464.154","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","49258.732","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1985","1985","1000 persons","24778.363","X","International reliable sources",""
